File created on 3/23/2011 at 2:28:02 PM

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02737.13892 -00556.86606 +00000.00 
020 000000.00 +02737.24359 -00556.88053 +00000.00 
020 000000.00 +02737.43103 -00556.90538 +00000.00 
020 000000.00 +02737.46519 -00556.90952 +00000.00 
020 000000.00 +02737.46892 -00556.91007 +00000.00 
020 000000.00 +02737.47087 -00556.91036 +00000.00 
020 000000.00 +02737.47218 -00556.91098 +00000.00 
020 000000.00 +02737.47369 -00556.91257 +00000.00 
020 000000.00 +02737.47507 -00556.91441 +00000.00 
020 000000.00 +02737.47640 -00556.91696 +00000.00 
020 000000.00 +02737.47698 -00556.92049 +00000.00 
020 000000.00 +02737.47697 -00556.92464 +00000.00 
020 000000.00 +02737.47670 -00556.92913 +00000.00 
020 000000.00 +02737.47622 -00556.93395 +00000.00 
020 000000.00 +02737.47610 -00556.93758 +00000.00 
020 000000.00 +02737.47673 -00556.93985 +00000.00 
020 000000.00 +02737.47757 -00556.94197 +00000.00 
020 000000.00 +02737.47911 -00556.94343 +00000.00 
020 000000.00 +02737.48144 -00556.94463 +00000.00 
020 000000.00 +02737.48353 -00556.94396 +00000.00 
020 000000.00 +02737.48686 -00556.94262 +00000.00 
020 000000.00 +02737.50622 -00556.93542 +00000.00 
020 000000.00 +02737.52558 -00556.92810 +00000.00 
020 000000.00 +02737.53661 -00556.92468 +00000.00 
020 000000.00 +02737.54731 -00556.92248 +00000.00 
020 000000.00 +02737.55996 -00556.92093 +00000.00 
020 000000.00 +02737.56546 -00556.92061 +00000.00 
020 000000.00 +02737.57261 -00556.92080 +00000.00 
020 000000.00 +02737.60925 -00556.92493 +00000.00 
020 000000.00 +02737.64762 -00556.92977 +00000.00 
020 000000.00 +02737.65825 -00556.93222 +00000.00 
020 000000.00 +02737.66576 -00556.93464 +00000.00 
020 000000.00 +02737.67794 -00556.93989 +00000.00 
020 000000.00 +02737.68616 -00556.94402 +00000.00 
020 000000.00 +02737.69455 -00556.94913 +00000.00 
020 000000.00 +02737.70161 -00556.95386 +00000.00 
020 000000.00 +02737.70896 -00556.95977 +00000.00 
020 000000.00 +02737.71259 -00556.96303 +00000.00 
020 000000.00 +02737.71835 -00556.96862 +00000.00 
020 000000.00 +02737.72605 -00556.97663 +00000.00 
020 000000.00 +02737.73496 -00556.98713 +00000.00 
020 000000.00 +02737.74104 -00556.99576 +00000.00 
020 000000.00 +02737.74714 -00557.00500 +00000.00 
020 000000.00 +02737.75301 -00557.01515 +00000.00 
020 000000.00 +02737.75803 -00557.02461 +00000.00 
020 000000.00 +02737.76311 -00557.03515 +00000.00 
020 000000.00 +02737.76751 -00557.04508 +00000.00 
020 000000.00 +02737.77211 -00557.05671 +00000.00 
020 000000.00 +02737.77621 -00557.06748 +00000.00 
020 000000.00 +02737.78103 -00557.08255 +00000.00 
020 000000.00 +02737.78462 -00557.09535 +00000.00 
020 000000.00 +02737.78740 -00557.10672 +00000.00 
020 000000.00 +02737.79126 -00557.12506 +00000.00 
020 000000.00 +02737.79415 -00557.14356 +00000.00 
020 000000.00 +02737.79588 -00557.15664 +00000.00 
020 000000.00 +02737.79807 -00557.18248 +00000.00 
020 000000.00 +02737.80229 -00557.25134 +00000.00 
020 000000.00 +02737.80593 -00557.31721 +00000.00 
020 000000.00 +02737.80771 -00557.35159 +00000.00 
020 000000.00 +02737.80834 -00557.36480 +00000.00 
020 000000.00 +02737.80874 -00557.37799 +00000.00 
020 000000.00 +02737.81000 -00557.40638 +00000.00 
020 000000.00 +02737.81131 -00557.43905 +00000.00 
020 000000.00 +02737.81240 -00557.46808 +00000.00 
020 000000.00 +02737.81268 -00557.47722 +00000.00 
020 000000.00 +02737.81269 -00557.47839 +00000.00 
020 000000.00 +02737.81310 -00557.47984 +00000.00 
020 000000.00 +02737.81347 -00557.48116 +00000.00 
020 000000.00 +02737.81446 -00557.48252 +00000.00 
020 000000.00 +02737.81594 -00557.48391 +00000.00 
020 000000.00 +02737.81818 -00557.48538 +00000.00 
020 000000.00 +02737.82708 -00557.48932 +00000.00 
020 000000.00 +02737.83053 -00557.49114 +00000.00 
020 000000.00 +02737.83206 -00557.49232 +00000.00 
020 000000.00 +02737.83303 -00557.49355 +00000.00 
020 000000.00 +02737.83424 -00557.49498 +00000.00 
020 000000.00 +02737.83517 -00557.49716 +00000.00 
020 000000.00 +02737.83604 -00557.49899 +00000.00 
020 000000.00 +02737.83653 -00557.50243 +00000.00 
020 000000.00 +02737.83703 -00557.50649 +00000.00 
020 000000.00 +02737.83779 -00557.51345 +00000.00 
020 000000.00 +02737.83924 -00557.52437 +00000.00 
020 000000.00 +02737.84061 -00557.53337 +00000.00 
020 000000.00 +02737.84329 -00557.54883 +00000.00 
020 000000.00 +02737.84638 -00557.56394 +00000.00 
020 000000.00 +02737.85086 -00557.58329 +00000.00 
020 000000.00 +02737.85690 -00557.60898 +00000.00 
020 000000.00 +02737.86333 -00557.63310 +00000.00 
020 000000.00 +02737.87074 -00557.66106 +00000.00 
