File created on 06/10/2010 at 11:41:52

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02640.02703 -00682.42355 +00303.90 
020 000000.00 +02640.02856 -00682.42458 +00303.92 
020 000000.00 +02640.02982 -00682.42554 +00303.94 
020 000000.00 +02640.03114 -00682.42644 +00303.98 
020 000000.00 +02640.03240 -00682.42734 +00303.99 
020 000000.00 +02640.03360 -00682.42824 +00304.01 
020 000000.00 +02640.03486 -00682.42908 +00304.04 
020 000000.00 +02640.03606 -00682.42998 +00304.04 
020 000000.00 +02640.03726 -00682.43082 +00304.07 
020 000000.00 +02640.03846 -00682.43166 +00304.11 
020 000000.00 +02640.03960 -00682.43250 +00304.12 
020 000000.00 +02640.04074 -00682.43328 +00304.15 
020 000000.00 +02640.04182 -00682.43406 +00304.18 
020 000000.00 +02640.04290 -00682.43484 +00304.20 
020 000000.00 +02640.04398 -00682.43562 +00304.21 
020 000000.00 +02640.04506 -00682.43640 +00304.22 
020 000000.00 +02640.04608 -00682.43712 +00304.24 
020 000000.00 +02640.04710 -00682.43784 +00304.24 
020 000000.00 +02640.04806 -00682.43850 +00304.26 
020 000000.00 +02640.04902 -00682.43922 +00304.27 
020 000000.00 +02640.04998 -00682.43988 +00304.26 
020 000000.00 +02640.05088 -00682.44054 +00304.27 
020 000000.00 +02640.05184 -00682.44120 +00304.28 
020 000000.00 +02640.05274 -00682.44180 +00304.31 
020 000000.00 +02640.05370 -00682.44246 +00304.31 
020 000000.00 +02640.05466 -00682.44306 +00304.33 
020 000000.00 +02640.05556 -00682.44372 +00304.34 
020 000000.00 +02640.05652 -00682.44432 +00304.36 
020 000000.00 +02640.05748 -00682.44492 +00304.37 
020 000000.00 +02640.05844 -00682.44558 +00304.38 
020 000000.00 +02640.05940 -00682.44618 +00304.39 
020 000000.00 +02640.06042 -00682.44684 +00304.40 
020 000000.00 +02640.06138 -00682.44744 +00304.42 
020 000000.00 +02640.06246 -00682.44810 +00304.43 
020 000000.00 +02640.06348 -00682.44870 +00304.43 
020 000000.00 +02640.06450 -00682.44936 +00304.44 
020 000000.00 +02640.06552 -00682.45002 +00304.47 
020 000000.00 +02640.06660 -00682.45062 +00304.52 
020 000000.00 +02640.06768 -00682.45128 +00304.59 
020 000000.00 +02640.06876 -00682.45188 +00304.68 
020 000000.00 +02640.06984 -00682.45254 +00304.74 
020 000000.00 +02640.07092 -00682.45320 +00304.81 
020 000000.00 +02640.07206 -00682.45386 +00304.89 
020 000000.00 +02640.07314 -00682.45452 +00304.97 
020 000000.00 +02640.07428 -00682.45518 +00305.05 
020 000000.00 +02640.07542 -00682.45584 +00305.13 
020 000000.00 +02640.07656 -00682.45650 +00305.26 
020 000000.00 +02640.07770 -00682.45710 +00305.55 
020 000000.00 +02640.07890 -00682.45770 +00305.84 
020 000000.00 +02640.08004 -00682.45836 +00306.11 
020 000000.00 +02640.08124 -00682.45896 +00306.37 
020 000000.00 +02640.08244 -00682.45962 +00306.62 
020 000000.00 +02640.08364 -00682.46022 +00306.86 
020 000000.00 +02640.08484 -00682.46094 +00306.98 
020 000000.00 +02640.08604 -00682.46160 +00307.07 
020 000000.00 +02640.08724 -00682.46226 +00307.13 
020 000000.00 +02640.08850 -00682.46292 +00307.21 
020 000000.00 +02640.08970 -00682.46364 +00307.30 
020 000000.00 +02640.09090 -00682.46430 +00307.38 
020 000000.00 +02640.09216 -00682.46496 +00307.47 
020 000000.00 +02640.09342 -00682.46562 +00307.57 
020 000000.00 +02640.09468 -00682.46628 +00307.73 
020 000000.00 +02640.09594 -00682.46694 +00307.88 
020 000000.00 +02640.09720 -00682.46760 +00307.97 
020 000000.00 +02640.09846 -00682.46832 +00308.04 
020 000000.00 +02640.09972 -00682.46898 +00308.11 
020 000000.00 +02640.10104 -00682.46964 +00308.23 
020 000000.00 +02640.10230 -00682.47036 +00308.38 
020 000000.00 +02640.10362 -00682.47102 +00308.52 
020 000000.00 +02640.10494 -00682.47168 +00308.66 
020 000000.00 +02640.10626 -00682.47234 +00308.80 
020 000000.00 +02640.10758 -00682.47306 +00308.90 
020 000000.00 +02640.10890 -00682.47372 +00309.02 
020 000000.00 +02640.11022 -00682.47438 +00309.12 
020 000000.00 +02640.11154 -00682.47504 +00309.21 
020 000000.00 +02640.11280 -00682.47576 +00309.29 
020 000000.00 +02640.11412 -00682.47642 +00309.38 
020 000000.00 +02640.11544 -00682.47708 +00309.43 
020 000000.00 +02640.11670 -00682.47774 +00309.41 
020 000000.00 +02640.11796 -00682.47846 +00309.37 
020 000000.00 +02640.11922 -00682.47912 +00309.33 
020 000000.00 +02640.12042 -00682.47978 +00309.29 
020 000000.00 +02640.12162 -00682.48044 +00309.27 
020 000000.00 +02640.12276 -00682.48104 +00309.26 
020 000000.00 +02640.12390 -00682.48164 +00309.30 
020 000000.00 +02640.12504 -00682.48224 +00309.35 
020 000000.00 +02640.12612 -00682.48278 +00309.37 
020 000000.00 +02640.12720 -00682.48338 +00309.37 
020 000000.00 +02640.12822 -00682.48392 +00309.36 
