File created on 20/04/2007 at 10:23:46

[header]
satellites
time
latitude
longitude
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.7.1 (Build 045)
Created from KML File

[column names]
sats time lat long YAW__ YAW_ 
[data]
020 000000.00 +03124.72210 +00061.07637 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72224 +00061.07460 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72230 +00061.07352 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72230 +00061.07244 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72242 +00061.07136 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72248 +00061.07028 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72248 +00061.06920 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72254 +00061.06812 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72266 +00061.06704 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72272 +00061.06596 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72278 +00061.06488 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72284 +00061.06380 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72290 +00061.06266 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72296 +00061.06158 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72302 +00061.06050 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72308 +00061.05936 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72314 +00061.05828 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72320 +00061.05720 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72326 +00061.05612 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72332 +00061.05498 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72338 +00061.05384 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72344 +00061.05276 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72350 +00061.05168 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72356 +00061.05054 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72362 +00061.04940 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72368 +00061.04832 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72374 +00061.04718 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72380 +00061.04610 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72386 +00061.04496 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72392 +00061.04382 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72398 +00061.04274 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72404 +00061.04160 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72416 +00061.04058 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72434 +00061.03950 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72440 +00061.03836 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72446 +00061.03728 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72452 +00061.03620 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72452 +00061.03512 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72464 +00061.03404 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72464 +00061.03290 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72470 +00061.03182 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72476 +00061.03074 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72482 +00061.02960 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72488 +00061.02852 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72494 +00061.02738 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72500 +00061.02630 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72506 +00061.02516 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72512 +00061.02408 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72518 +00061.02294 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72524 +00061.02180 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72530 +00061.02066 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72536 +00061.01952 +0.00000E+00 +0.00000E+00 
