File created on 12/04/2012 at 16:22:38

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 2.1.1 (Build 001)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +00077.47468 -06231.29347 +00000.00 
020 000000.00 +00077.47699 -06231.29440 +00000.00 
020 000000.00 +00077.47890 -06231.29519 +00000.00 
020 000000.00 +00077.47957 -06231.29553 +00000.00 
020 000000.00 +00077.47959 -06231.29644 +00000.00 
020 000000.00 +00077.47678 -06231.29996 +00000.00 
020 000000.00 +00077.46452 -06231.31471 +00000.00 
020 000000.00 +00077.44805 -06231.33469 +00000.00 
020 000000.00 +00077.42503 -06231.36333 +00000.00 
020 000000.00 +00077.40762 -06231.38105 +00000.00 
020 000000.00 +00077.40138 -06231.38800 +00000.00 
020 000000.00 +00077.39796 -06231.39184 +00000.00 
020 000000.00 +00077.39616 -06231.39498 +00000.00 
020 000000.00 +00077.39331 -06231.40177 +00000.00 
020 000000.00 +00077.39056 -06231.41316 +00000.00 
020 000000.00 +00077.38801 -06231.42467 +00000.00 
020 000000.00 +00077.38634 -06231.43738 +00000.00 
020 000000.00 +00077.38416 -06231.44896 +00000.00 
020 000000.00 +00077.38402 -06231.45915 +00000.00 
020 000000.00 +00077.38364 -06231.46086 +00000.00 
020 000000.00 +00077.38253 -06231.46124 +00000.00 
020 000000.00 +00077.38065 -06231.46135 +00000.00 
020 000000.00 +00077.36629 -06231.46021 +00000.00 
020 000000.00 +00077.35877 -06231.46068 +00000.00 
020 000000.00 +00077.35277 -06231.46154 +00000.00 
020 000000.00 +00077.34675 -06231.46426 +00000.00 
020 000000.00 +00077.34167 -06231.46754 +00000.00 
020 000000.00 +00077.33774 -06231.47415 +00000.00 
020 000000.00 +00077.33556 -06231.48094 +00000.00 
020 000000.00 +00077.33368 -06231.49871 +00000.00 
020 000000.00 +00077.33034 -06231.53807 +00000.00 
020 000000.00 +00077.32800 -06231.56499 +00000.00 
020 000000.00 +00077.32773 -06231.57225 +00000.00 
020 000000.00 +00077.32735 -06231.57782 +00000.00 
020 000000.00 +00077.32758 -06231.58022 +00000.00 
020 000000.00 +00077.32781 -06231.58261 +00000.00 
020 000000.00 +00077.32881 -06231.58468 +00000.00 
020 000000.00 +00077.33092 -06231.58638 +00000.00 
020 000000.00 +00077.33356 -06231.58768 +00000.00 
020 000000.00 +00077.33869 -06231.58925 +00000.00 
020 000000.00 +00077.36991 -06231.59548 +00000.00 
020 000000.00 +00077.37211 -06231.59646 +00000.00 
020 000000.00 +00077.37372 -06231.59820 +00000.00 
020 000000.00 +00077.37389 -06231.60040 +00000.00 
020 000000.00 +00077.37377 -06231.60298 +00000.00 
020 000000.00 +00077.36916 -06231.66452 +00000.00 
020 000000.00 +00077.36850 -06231.66711 +00000.00 
020 000000.00 +00077.36740 -06231.66990 +00000.00 
020 000000.00 +00077.36650 -06231.67140 +00000.00 
020 000000.00 +00077.36387 -06231.67242 +00000.00 
020 000000.00 +00077.36230 -06231.67226 +00000.00 
020 000000.00 +00077.35950 -06231.67197 +00000.00 
020 000000.00 +00077.35441 -06231.67114 +00000.00 
020 000000.00 +00077.34784 -06231.67166 +00000.00 
020 000000.00 +00077.34409 -06231.67247 +00000.00 
020 000000.00 +00077.34056 -06231.67481 +00000.00 
020 000000.00 +00077.33705 -06231.67843 +00000.00 
020 000000.00 +00077.33330 -06231.68553 +00000.00 
020 000000.00 +00077.32900 -06231.69514 +00000.00 
020 000000.00 +00077.32605 -06231.70705 +00000.00 
020 000000.00 +00077.32541 -06231.71801 +00000.00 
020 000000.00 +00077.32406 -06231.73502 +00000.00 
020 000000.00 +00077.32277 -06231.74954 +00000.00 
020 000000.00 +00077.31995 -06231.80174 +00000.00 
020 000000.00 +00077.31886 -06231.82590 +00000.00 
020 000000.00 +00077.31825 -06231.83317 +00000.00 
020 000000.00 +00077.31818 -06231.83748 +00000.00 
020 000000.00 +00077.31977 -06231.84122 +00000.00 
020 000000.00 +00077.32480 -06231.84515 +00000.00 
020 000000.00 +00077.33590 -06231.85261 +00000.00 
020 000000.00 +00077.35790 -06231.86700 +00000.00 
020 000000.00 +00077.36227 -06231.86940 +00000.00 
020 000000.00 +00077.36704 -06231.87161 +00000.00 
020 000000.00 +00077.37429 -06231.87310 +00000.00 
020 000000.00 +00077.38401 -06231.87285 +00000.00 
020 000000.00 +00077.42718 -06231.86664 +00000.00 
020 000000.00 +00077.48305 -06231.85675 +00000.00 
020 000000.00 +00077.50339 -06231.85455 +00000.00 
020 000000.00 +00077.51331 -06231.85399 +00000.00 
020 000000.00 +00077.52039 -06231.85443 +00000.00 
020 000000.00 +00077.53575 -06231.85599 +00000.00 
020 000000.00 +00077.55631 -06231.85258 +00000.00 
