File created on 07/10/2010 at 16:53:22

[header]
satellites
time
latitude
longitude
height
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height YAW__ YAW_ 
[data]
020 000000.00 +03026.48550 -00357.98778 +00444.41 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48586 -00357.98784 +00444.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48622 -00357.98796 +00444.47 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48658 -00357.98814 +00444.51 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48694 -00357.98832 +00444.51 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48724 -00357.98850 +00444.57 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48760 -00357.98874 +00444.60 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48790 -00357.98904 +00444.66 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48820 -00357.98934 +00444.72 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48850 -00357.98964 +00444.78 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48874 -00357.98994 +00444.83 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48904 -00357.99030 +00444.84 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48928 -00357.99066 +00444.86 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48952 -00357.99108 +00444.88 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48976 -00357.99150 +00444.88 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48994 -00357.99192 +00444.86 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49012 -00357.99240 +00444.87 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49030 -00357.99288 +00444.88 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49048 -00357.99336 +00444.90 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49054 -00357.99390 +00444.96 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49066 -00357.99444 +00444.99 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49072 -00357.99498 +00444.99 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49078 -00357.99558 +00445.00 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49084 -00357.99612 +00445.00 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49090 -00357.99672 +00445.00 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49090 -00357.99732 +00445.01 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49090 -00357.99786 +00445.03 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49090 -00357.99846 +00445.05 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49084 -00357.99906 +00445.07 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49084 -00357.99966 +00445.09 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49078 -00358.00026 +00445.11 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49078 -00358.00080 +00445.12 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49072 -00358.00146 +00445.13 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49066 -00358.00206 +00445.14 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49066 -00358.00266 +00445.16 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49060 -00358.00326 +00445.17 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49060 -00358.00392 +00445.18 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49054 -00358.00452 +00445.19 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49048 -00358.00518 +00445.20 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49042 -00358.00578 +00445.20 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49042 -00358.00644 +00445.22 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49036 -00358.00710 +00445.22 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49030 -00358.00776 +00445.23 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49030 -00358.00842 +00445.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49024 -00358.00908 +00445.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49018 -00358.00974 +00445.25 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49018 -00358.01034 +00445.25 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49012 -00358.01100 +00445.27 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49006 -00358.01166 +00445.26 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49006 -00358.01226 +00445.27 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49000 -00358.01292 +00445.28 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48994 -00358.01358 +00445.29 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48994 -00358.01418 +00445.29 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48988 -00358.01484 +00445.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48982 -00358.01544 +00445.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48982 -00358.01604 +00445.32 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48976 -00358.01664 +00445.33 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48976 -00358.01730 +00445.35 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48970 -00358.01790 +00445.36 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48970 -00358.01850 +00445.37 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48964 -00358.01910 +00445.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48964 -00358.01970 +00445.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48964 -00358.02030 +00445.39 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48964 -00358.02090 +00445.39 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48964 -00358.02150 +00445.39 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48970 -00358.02210 +00445.41 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48976 -00358.02270 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48982 -00358.02324 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48988 -00358.02384 +00445.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49000 -00358.02438 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49012 -00358.02498 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49024 -00358.02552 +00445.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49036 -00358.02606 +00445.44 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49054 -00358.02660 +00445.45 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49072 -00358.02714 +00445.47 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49090 -00358.02768 +00445.49 +0.00000E+00 +0.00000E+00 
